key,company,ticker,date
1,"Luxoft Holding, Inc. (NYSE:LXFT)",NYSE:LXFT,2016-02-12 08:00:00
2,"DENTSPLY International, Inc. (NASDAQ:XRAY)",NASDAQ:XRAY,2016-02-12 08:30:00
3,Hawaiian Electric Industries Inc. (NYSE:HE),NYSE:HE,2016-02-11 17:00:00
4,Corrections Corporation of America (NYSE:CXW),NYSE:CXW,2016-02-11 11:00:00
5,Cousins Properties Inc. (NYSE:CUZ),NYSE:CUZ,2016-02-11 10:00:00
6,"Aviat Networks, Inc. (NASDAQ:AVNW)",NASDAQ:AVNW,2016-02-11 09:00:00
7,Cognex Corp. (NASDAQ:CGNX),NASDAQ:CGNX,2016-02-10 17:00:00
8,"Luxoft Holding, Inc. (NYSE:LXFT)",NYSE:LXFT,2016-02-12 08:00:00
9,"DENTSPLY International, Inc. (NASDAQ:XRAY)",NASDAQ:XRAY,2016-02-12 08:30:00
10,Coca-Cola Enterprises Inc. (NYSE:CCE),NYSE:CCE,2016-02-11 10:00:00
11,Hawaiian Electric Industries Inc. (NYSE:HE),NYSE:HE,2016-02-11 17:00:00
12,Corrections Corporation of America (NYSE:CXW),NYSE:CXW,2016-02-11 11:00:00
13,"GNC Holdings, Inc. (NYSE:GNC)",NYSE:GNC,2016-02-11 08:30:00
14,Cousins Properties Inc. (NYSE:CUZ),NYSE:CUZ,2016-02-11 10:00:00
15,"Tower International, Inc. (NYSE:TOWR)",NYSE:TOWR,2016-02-11 11:00:00
16,"Aviat Networks, Inc. (NASDAQ:AVNW)",NASDAQ:AVNW,2016-02-11 09:00:00
17,Cognex Corp. (NASDAQ:CGNX),NASDAQ:CGNX,2016-02-10 17:00:00
18,"Marketo, Inc. (NASDAQ:MKTO)",NASDAQ:MKTO,2016-02-09 17:00:00
19,"ScanSource, Inc. (NASDAQ:SCSC)",NASDAQ:SCSC,2016-02-09 17:00:00
20,LifeVantage Corporation (NASDAQ:LFVN),NASDAQ:LFVN,2016-02-09 16:30:00
21,Invitae (NYSE:NVTA),NYSE:NVTA,2016-02-09 16:45:00
22,"Orion Energy Systems, Inc. (NASDAQ:OESX)",NASDAQ:OESX,2016-02-09 16:30:00
23,Cinedigm Corp. (NASDAQ:CIDM),NASDAQ:CIDM,2016-02-09 16:30:00
24,"SITO Mobile, Ltd. (NASDAQ:SITO)",NASDAQ:SITO,2016-02-09 16:30:00
25,Paycom Software Inc. (NYSE:PAYC),NYSE:PAYC,2016-02-09 17:00:00
26,"Catalent, Inc. (NYSE:CTLT)",NYSE:CTLT,2016-02-09 16:45:00
